id,name,value,created_at,updated_at,role_id,stat_type,notice
1,Crit,50,2020-06-07 10:07:45.205586,2020-06-07 10:07:45.205586,1,class,NULL
2,P.Block,100,2020-06-07 10:09:43.237435,2020-06-07 10:09:43.237435,1,class,NULL
3,M.Block,100,2020-06-07 10:09:47.26713,2020-06-07 10:09:47.26713,1,class,NULL
4,P.Tough,250,2020-06-07 10:10:01.224998,2020-06-07 10:10:01.224998,1,class,NULL
5,M.Tough,250,2020-06-07 10:10:04.298619,2020-06-07 10:10:04.298619,1,class,NULL
6,Crit,150,2020-06-07 10:13:27.42496,2020-06-07 10:13:27.42496,2,class,NULL
7,Penetration,150,2020-06-07 10:13:34.325552,2020-06-07 10:13:34.325552,2,class,NULL
8,ACC,100,2020-06-07 10:13:40.176515,2020-06-07 10:13:40.176515,2,class,NULL
9,P.Dodge,100,2020-06-07 10:13:47.368522,2020-06-07 10:13:47.368522,2,class,NULL
10,M.Dodge,100,2020-06-07 10:13:50.969412,2020-06-07 10:13:50.969412,2,class,NULL
11,CC Resist,150,2020-06-07 10:14:00.383327,2020-06-07 10:14:00.383327,2,class,NULL
12,Crit,200,2020-06-07 10:14:09.632804,2020-06-07 10:14:09.632804,3,class,NULL
13,Crit DMG,30,2020-06-07 10:14:15.233518,2020-06-07 10:14:15.233518,3,class,NULL
14,ACC,100,2020-06-07 10:14:20.79461,2020-06-07 10:14:20.79461,3,class,NULL
15,P.Dodge,200,2020-06-07 10:14:27.570486,2020-06-07 10:14:27.570486,3,class,NULL
16,M.Dodge,200,2020-06-07 10:14:30.539704,2020-06-07 10:14:30.539704,3,class,NULL
17,Crit,150,2020-06-07 10:14:37.982699,2020-06-07 10:14:37.982699,4,class,NULL
18,Penetration,250,2020-06-07 10:14:43.80951,2020-06-07 10:14:43.80951,4,class,NULL
19,ACC,100,2020-06-07 10:14:48.570904,2020-06-07 10:14:48.570904,4,class,NULL
20,Crit,150,2020-06-07 10:16:10.56233,2020-06-07 10:16:10.56233,5,class,NULL
21,Crit DMG,50,2020-06-07 10:16:16.866591,2020-06-07 10:16:16.866591,5,class,NULL
22,Penetration,100,2020-06-07 10:16:27.834747,2020-06-07 10:16:27.834747,5,class,NULL
23,ACC,200,2020-06-07 10:18:12.172771,2020-06-07 10:18:12.172771,5,class,NULL
24,Crit,100,2020-06-07 10:18:19.34013,2020-06-07 10:18:19.34013,6,class,NULL
25,Penetration,150,2020-06-07 10:18:26.262981,2020-06-07 10:18:26.262981,6,class,NULL
26,ACC,100,2020-06-07 10:18:31.275613,2020-06-07 10:18:31.275613,6,class,NULL
27,M.Dodge,200,2020-06-07 10:18:36.625598,2020-06-07 10:18:36.625598,6,class,NULL
28,M.Block,250,2020-06-07 10:18:42.70958,2020-06-07 10:18:42.70958,6,class,NULL
29,Crit,100,2020-06-07 10:18:49.273738,2020-06-07 10:18:49.273738,7,class,NULL
30,ACC,100,2020-06-07 10:18:54.159452,2020-06-07 10:18:54.159452,7,class,NULL
31,M.Block,500,2020-06-07 10:18:59.669923,2020-06-07 10:18:59.669923,7,class,NULL
32,M.Block DEF,250,2020-06-07 10:19:12.315421,2020-06-07 10:19:12.315421,7,class,NULL
33,M.Tough,150,2020-06-07 10:19:19.422677,2020-06-07 10:19:19.422677,7,class,NULL
34,MAX HP,1520472,2020-06-16 11:19:18.554707,2020-06-16 11:19:18.554707,1,base,NULL
35,ATK,17632,2020-06-16 11:19:28.625843,2020-06-16 11:19:28.625843,1,base,NULL
36,P.Def,7832,2020-06-16 11:19:35.601024,2020-06-16 11:19:35.601024,1,base,NULL
37,M.Def,6096,2020-06-16 11:19:41.31834,2020-06-16 11:19:41.31834,1,base,NULL
38,MAX HP,1291376,2020-06-16 11:19:51.546089,2020-06-16 11:19:51.546089,2,base,NULL
39,ATK,20032,2020-07-31 18:10:26.861765,2020-07-31 18:10:26.861765,2,base,NULL
40,P.Def,6528,2020-06-16 11:20:02.34629,2020-06-16 11:20:02.34629,2,base,NULL
41,M.Def,7832,2020-06-16 11:20:09.701088,2020-06-16 11:20:09.701088,2,base,NULL
42,MAX HP,1233888,2020-06-16 11:20:24.022658,2020-06-16 11:20:24.022658,3,base,NULL
43,ATK,21992,2020-06-16 11:20:30.503281,2020-06-16 11:20:30.503281,3,base,NULL
44,P.Def,6968,2020-06-16 11:20:36.736973,2020-06-16 11:20:36.736973,3,base,NULL
45,M.Def,6096,2020-06-16 11:20:42.062887,2020-06-16 11:20:42.062887,3,base,NULL
46,MAX HP,950344,2020-06-16 11:20:52.922375,2020-06-16 11:20:52.922375,4,base,NULL
47,ATK,24824,2020-06-16 11:20:58.834135,2020-06-16 11:20:58.834135,4,base,NULL
48,P.Def,4784,2020-06-16 11:21:05.412617,2020-06-16 11:21:05.412617,4,base,NULL
49,M.Def,3912,2020-06-16 11:21:45.441109,2020-06-16 11:21:45.441109,4,base,NULL
50,MAX HP,1030920,2020-06-16 11:21:58.303379,2020-06-16 11:21:58.303379,5,base,NULL
51,ATK,22648,2020-06-16 11:22:04.544729,2020-06-16 11:22:04.544729,5,base,NULL
52,P.Def,4784,2020-06-16 11:22:09.989639,2020-06-16 11:22:09.989639,5,base,NULL
53,M.Def,3912,2020-06-16 11:22:15.087842,2020-06-16 11:22:15.087842,5,base,NULL
54,MAX HP,877832,2020-06-16 11:22:24.726217,2020-06-16 11:22:24.726217,6,base,NULL
55,ATK,26128,2020-06-16 11:22:29.97957,2020-06-16 11:22:29.97957,6,base,NULL
56,P.Def,3480,2020-06-16 11:22:35.683488,2020-06-16 11:22:35.683488,6,base,NULL
57,M.Def,5224,2020-06-16 11:22:41.255497,2020-06-16 11:22:41.255497,6,base,NULL
58,MAX HP,984320,2020-06-16 11:22:49.842465,2020-06-16 11:22:49.842465,7,base,NULL
59,ATK,20688,2020-06-16 11:22:55.393983,2020-06-16 11:22:55.393983,7,base,NULL
60,P.Def,4352,2020-06-16 11:23:01.112326,2020-06-16 11:23:01.112326,7,base,NULL
61,M.Def,5440,2020-06-16 11:23:06.558466,2020-06-16 11:23:06.558466,7,base,NULL
62,P.Def,9148,2020-07-21 14:42:11.447104,2020-07-21 14:42:11.447104,NULL,gear,t6 1h
63,M.Def,9148,2020-07-21 14:45:21.244157,2020-07-21 14:45:21.244157,NULL,gear,t6 2h
64,P.Def,6099,2020-07-21 14:45:36.096558,2020-07-21 14:45:36.096558,NULL,gear,t6 1l
65,M.Def,3052,2020-07-21 14:46:02.832139,2020-07-21 14:46:02.832139,NULL,gear,t6 2l
66,P.Def,3052,2020-07-21 14:46:17.007864,2020-07-21 14:46:17.007864,NULL,gear,t6 1i
67,M.Def,6099,2020-07-21 14:46:32.68278,2020-07-21 14:46:32.68278,NULL,gear,t6 2i
68,HP,407302,2020-07-21 14:47:02.570773,2020-07-21 14:47:02.570773,NULL,gear,t6 ring
69,ATK,8860,2020-07-21 14:47:19.763967,2020-07-21 14:47:19.763967,NULL,gear,t6 earrings
70,M.Def,6377,2020-07-21 14:47:38.743914,2020-07-21 14:47:38.743914,NULL,gear,t6 necklace
71,P.Def,6377,2020-07-21 14:47:54.066342,2020-07-21 14:47:54.066342,NULL,gear,t6 bracelet
72,HP,442512,2020-07-21 14:48:09.595237,2020-07-21 14:48:09.595237,NULL,gear,t6 orb
73,P.Def,13625,2020-07-21 14:48:32.291481,2020-07-21 14:48:32.291481,NULL,gear,t7 1h
74,M.Def,13625,2020-07-21 14:48:39.18595,2020-07-21 14:48:39.18595,NULL,gear,t7 2h
75,P.Def,9091,2020-07-21 14:49:01.6004,2020-07-21 14:49:01.6004,NULL,gear,t7 1l
76,M.Def,4547,2020-07-21 14:49:15.916756,2020-07-21 14:49:15.916756,NULL,gear,t7 2l
77,P.Def,4547,2020-07-21 14:49:29.38033,2020-07-21 14:49:29.38033,NULL,gear,t7 1i
78,M.Def,9091,2020-07-21 14:49:40.033139,2020-07-21 14:49:40.033139,NULL,gear,t7 2i
79,HP,580102,2020-07-21 15:00:08.699213,2020-07-21 15:00:08.699213,NULL,gear,t7 ring
80,ATK,12617,2020-07-21 15:00:25.671442,2020-07-21 15:00:25.671442,NULL,gear,t7 earrings
81,M.Def,9091,2020-07-21 15:00:41.759413,2020-07-21 15:00:41.759413,NULL,gear,t7 necklace
82,P.Def,9091,2020-07-21 15:00:57.290713,2020-07-21 15:00:57.290713,NULL,gear,t7 bracelet
83,HP,608371,2020-07-21 15:01:22.673328,2020-07-21 15:01:22.673328,NULL,gear,t7 orb/mana stone
84,P.Def,17052,2020-07-21 15:03:50.751701,2020-07-21 15:03:50.751701,NULL,gear,t8 1h
85,M.Def,17052,2020-07-21 15:03:58.1661,2020-07-21 15:03:58.1661,NULL,gear,t8 2h
86,P.Def,11369,2020-07-21 15:04:12.379562,2020-07-21 15:04:12.379562,NULL,gear,t8 1l
87,M.Def,5686,2020-07-21 15:04:24.24325,2020-07-21 15:04:24.24325,NULL,gear,t8 2l
88,P.Def,5686,2020-07-21 15:04:39.908417,2020-07-21 15:04:39.908417,NULL,gear,t8 1i
89,M.Def,11369,2020-07-21 15:04:56.941099,2020-07-21 15:04:56.941099,NULL,gear,t8 2i
90,HP,726278,2020-07-21 15:05:12.894116,2020-07-21 15:05:12.894116,NULL,gear,t8 ring
